SUMLEV,REGION,DIVISION,STATE,NAME,CENSUS2010POP,ESTIMATESBASE2010,Location,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,DEATHS2017,DEATHS2018,DEATHS2019
40,4,8,30,Montana,989415,989407,Montana,990697,997316,1003783,1013569,1021869,1030475,1040859,1052482,1060665,1068778,2410,9118,8962,9439,9370,9682,9923,10260,9666,9870
40,2,4,31,Nebraska,1826341,1826305,Nebraska,1829542,1840672,1853303,1865279,1879321,1891277,1905616,1915947,1925614,1934408,3653,15621,15220,16174,15683,16557,16135,16881,15731,15582
40,4,8,32,Nevada,2700551,2700677,Nevada,2702405,2712730,2743996,2775970,2817628,2866939,2917563,2969905,3027341,3080156,4939,20204,20414,21249,21248,22454,23312,24504,25146,25610
40,1,1,33,New Hampshire,1316470,1316462,New Hampshire,1316762,1320202,1324232,1326622,1333341,1336350,1342307,1348787,1353465,1359711,2538,10741,10516,10888,11154,11990,11837,12352,12378,12125
40,1,2,34,New Jersey,8791894,8791978,New Jersey,8799446,8828117,8844942,8856972,8864525,8867949,8870827,8885525,8886025,8882190,17109,71062,69000,72453,70501,72547,71177,74783,75450,75723
40,4,8,35,New Mexico,2059179,2059199,New Mexico,2064552,2080450,2087309,2092273,2089568,2089291,2091630,2091784,2092741,2096829,3836,16369,16470,16792,17139,17633,18141,18527,18574,18388
40,1,2,36,New York,19378102,19378144,New York,19399878,19499241,19572932,19624447,19651049,19654666,19633428,19589572,19530351,19453561,35112,149781,146882,152549,148838,153893,151605,155137,160899,164817
40,3,5,37,North Carolina,9535483,9535751,North Carolina,9574323,9657592,9749476,9843336,9932887,10031646,10154788,10268233,10381615,10488084,18643,79974,79529,84358,83523,88466,89237,91775,93703,94312
40,2,4,38,North Dakota,672591,672576,North Dakota,674715,685225,701176,722036,737401,754066,754434,754942,758080,762062,1494,6045,5936,6223,6204,6323,6145,6377,6150,6250
40,2,3,39,Ohio,11536504,11536751,Ohio,11539336,11544663,11548923,11576684,11602700,11617527,11634370,11659650,11676341,11689100,26542,110620,111343,114504,111902,118309,117570,122177,119884,117750
40,3,7,40,Oklahoma,3751351,3751582,Oklahoma,3759944,3788379,3818814,3853214,3878187,3909500,3926331,3931316,3940235,3956971,7878,37762,36961,38598,38607,39730,39282,40329,40486,40266
40,4,9,41,Oregon,3831074,3831079,Oregon,3837491,3872036,3899001,3922468,3963244,4015792,4089976,4143625,4181886,4217737,7822,32496,32943,33418,33804,35388,35334,36831,36180,36563
40,1,2,42,Pennsylvania,12702379,12702868,Pennsylvania,12711160,12745815,12767118,12776309,12788313,12784826,12782275,12787641,12800922,12801989,30212,127718,125530,130935,126737,132748,129972,135741,134063,133439
40,1,1,44,Rhode Island,1052567,1052964,Rhode Island,1053959,1053649,1054621,1055081,1055936,1056065,1056770,1055673,1058287,1059361,2329,9754,9319,9631,9697,10079,9831,10044,9939,9802
40,3,5,45,South Carolina,4625364,4625366,South Carolina,4635649,4671994,4717354,4764080,4823617,4891938,4957968,5021268,5084156,5148714,9658,42033,42073,44662,44538,46872,47256,48815,50428,50744
40,2,4,46,South Dakota,814180,814198,South Dakota,816166,823579,833566,842316,849129,853988,862996,872868,878698,884659,1929,7289,7415,7279,7159,7744,7750,8079,7381,7337
40,3,6,47,Tennessee,6346105,6346276,Tennessee,6355311,6399291,6453898,6494340,6541223,6591170,6646010,6708799,6771631,6829174,14302,60180,60650,63478,63582,66105,66653,69124,68970,67977
40,3,7,48,Texas,25145561,25146091,Texas,25241971,25645629,26084481,26480266,26964333,27470056,27914410,28295273,28628666,28995881,41027,168140,169177,178624,180737,187837,188794,194141,201799,202786
40,4,8,49,Utah,2763885,2763891,Utah,2775332,2814384,2853375,2897640,2936879,2981835,3041868,3101042,3153550,3205958,3678,15008,15471,16264,16284,17269,17786,17861,17695,17443
40,1,1,50,Vermont,625741,625737,Vermont,625879,627049,626090,626210,625214,625216,623657,624344,624358,623989,1326,5436,5459,5561,5601,5912,5811,6021,5778,5634
40,3,5,51,Virginia,8001024,8001049,Virginia,8023699,8101155,8185080,8252427,8310993,8361808,8410106,8463587,8501286,8535519,14653,60458,60211,63454,62609,65247,65329,67950,68737,69729
40,4,9,53,Washington,6724540,6724540,Washington,6742830,6826627,6897058,6963985,7054655,7163657,7294771,7423362,7523869,7614893,11850,49814,49426,51309,51278,53852,54708,56062,57709,58587
40,3,5,54,West Virginia,1852994,1853018,West Virginia,1854239,1856301,1856872,1853914,1849489,1842050,1831023,1817004,1804291,1792147,5228,21901,21494,22248,21655,22759,22459,23142,22822,22567
40,2,3,55,Wisconsin,5686986,5687285,Wisconsin,5690475,5705288,5719960,5736754,5751525,5760940,5772628,5790186,5807406,5822434,11770,48474,47862,50037,49334,51244,51341,52403,51254,50393
40,4,8,56,Wyoming,563626,563775,Wyoming,564487,567299,576305,582122,582531,585613,584215,578931,577601,578759,1289,4444,4381,4614,4527,4824,4790,4754,4732,4971
40,X,X,72,Puerto Rico,3725789,3726157,Puerto Rico,3721525,3678732,3634488,3593077,3534874,3473232,3406672,3325286,3193354,3193694,7138,30260,29742,29399,28831,29852,28391,29431,30681,28821
